Title,Categories,Description
Vestiges of the Natural History of Creation and Other Evolutionary Writings,Science,"Originally published anonymously in 1844, Vestiges proved to be as controversial as its author expected. Integrating research in the burgeoning sciences of anthropology, geology, astronomy, biology, economics, and chemistry, it was the first attempt to connect the natural sciences to a history of creation. The author, whose identity was not revealed until 1884, was Robert Chambers, a leading Scottish writer and publisher. Vestiges reached a huge popular audience and was widely read by the social and intellectual elite. It sparked debate about natural law, setting the stage for the controversy over Darwin's Origin. In response to the surrounding debate and criticism, Chambers published Explanations: A Sequel, in which he offered a reasoned defense of his ideas about natural law, castigating what he saw as the narrowness of specialist science. With a new introduction by James Secord, a bibliography of reviews, and a new index, this volume adds to Vestiges and Explanations Chambers's earliest works on cosmology, an essay on Darwin, and an autobiographical essay, raising important issues about the changing meanings of popular science and religion and the rise of secular ideologies in Western culture."
The Refugees  By,"Mysteries,Thrillers,Crime, Thriller & Mystery Anthologies","The Refugees (1893) is a historical novel by British writer Sir Arthur Conan Doyle. It revolves around Amory de Catinat, a Huguenot guardsman of Louis XIV, and Amos Green, an American who comes to visit France. Major themes include Louis XIV's marriage to Madame de Maintenon, retirement from court of Madame de Montespan, the revoking of the Edict of Nantes and the subsequent emigration of the Huguenot de Catinats to America. Sir Arthur Ignatius Conan Doyle KStJ, DL (22 May 1859 - 7 July 1930) was a British writer and physician, most noted for creating the fictional detective Sherlock Holmes and writing stories about him which are generally considered milestones in the field of crime fiction. He is also known for writing the fictional adventures of a second character he invented, Professor Challenger, and for popularising the mystery of the Mary Celeste. He was a prolific writer whose other works include fantasy and science fiction stories, plays, romances, poetry, nonfiction and historical novels."
Our Man in Havana,Fiction,"A hapless salesman in Cuba is recruited into Cold War spy games in Greene’s classic “comical, satirical, atmospherical” novel (The Daily Telegraph). James Wormold, a cash-strapped vacuum cleaner salesman in Havana, finds the answer to his prayers when British Intelligence offers him a lucrative job as an undercover agent. To keep the checks coming, Wormold must at least pretend to know what he’s doing. Soon, he’s apparently deciphering incomprehensible codes, passing along sketches of secret weapons that look suspiciously like vacuum parts, and claiming to recruit fellow operatives from his country club, all to create the perfect picture of intrigue. But when MI6 dispatches a secretary to oversee his endeavors, Wormold fears his carelessly fabricated world will come undone. Instead, it all comes true. Somehow, he’s become the target of an assassin, and it’s going to take more than a fib to get out of Cuba alive. Her Majesty’s man in Havana may have to resort to spying. Named one of the 20 Best Spy Novels of All Time by the Telegraph and adapted into the classic 1959 comedy starring Alec Guinness, Our Man in Havana is “high-comic mayhem . . . weirdly undated . . . [and] bizarrely prescient” (Christopher Buckley, New York Times–bestselling author)."
A Moveable Feast,Authors,"Begun in the autumn of 1957 and published posthumously in 1964, Ernest Hemingway's A Moveable Feast captures what it meant to be young and poor and writing in Paris during the 1920s. A correspondent for the Toronto Star, Hemingway arrived in Paris in 1921, three years after the trauma of the Great War and at the beginning of the transformation of Europe's cultural landscape: Braque and Picasso were experimenting with cubist form; James Joyce, long living in self-imposed exile from his native Dublin, had just completed Ulysses; Gertrude Stein held court at 27 Rue de Fleurus, and deemed young Ernest a member of une gneration perdue; and T.S. Eliot was a bank clerk in London. It was during these years that the as-of-yet unpublished young writer gathered the material for his first novel The Sun Also Rises, and the subsequent masterpieces that followed.
Among these small, reflective sketches are unforgettable encounters with the members of Hemingway's slightly rag-tag circle of artists and writers, some also fated to achieve fame and glory, others to fall into obscurity. Here, too, is an evocation of the Paris that Hemingway knew as a young man - a map drawn in his distinct prose of the streets and cafes and bookshops that comprised the city in which he, as a young writer, sometimes struggling against the cold and hunger of near poverty, honed the skills of his craft.


A Moveable Feast is at once an elegy to the remarkable group for expatriates that gathered in Paris during th..."
American Notes,,"Charles Dickens was the most famous of many travelers of his time who journeyed to America, curious about the revolutionary new civilization that had captured the English imagination. His frank, often humorous descriptions in his 1842 account cover everything from his uncomfortable sea voyage to an ecstatic narrative of his visit to Niagara Falls. Yet Dickens is also critical of American society, its preoccupation with money, and reliance on slavery, as well as the rude, unsavory manners of Americans and their corrupt press. Above all, American Notes is a lively chronicle of what was for Dickens an illuminating encounter with the New World."
A Tale of Two Cities Illustrated by (Hablot Knight Browne (Phiz)),Historical Fiction,"A Tale of Two Cities (1859) is the second historical novel by Charles Dickens, set in London and Paris before and during the French Revolution. It depicts the plight of the French proletariat under the brutal oppression of t+E3he French aristocracy in the years leading up to the revolution, and the corresponding savage brutality demonstrated by the revolutionaries toward the former aristocrats in the early years of the revolution. It follows the lives of several protagonists through these events, most notably Charles Darnay, a French once-aristocrat who falls victim to the indiscriminate wrath of the revolution despite his virtuous nature, and Sydney Carton, a dissipated English barrister who endeavours to redeem his ill-spent life out of love for Darnay's wife, Lucie Manette."
Middlemarch,,"Middlemarch, A Study of Provincial Life is a novel by the English author George Eliot (Mary Anne Evans). The novel is set in the fictitious Midlands town of Middlemarch during 1829-32, and follows several distinct, intersecting stories with a large cast of characters. Issues include the status of women, the nature of marriage, idealism, self-interest, religion, hypocrisy, political reform, and education. Despite comic elements, Middlemarch is a work of realism encompassing historical events: the 1832 Reform Act, the beginnings of the railways, and the death of King George IV and succession of his brother, the Duke of Clarence (King William IV). It is now seen widely as her best work and one of the great novels in English. Taking place in the years leading up to the First Reform Bill of 1832, Middlemarch explores nearly every subject of concern to modern life: art, religion, science, politics, self, society, human relationships. Among her characters are some of the most remarkable portraits in English literature: Dorothea Brooke, the heroine, idealistic but naive; Rosamond Vincy, beautiful and egoistic: Edward Casaubon, the dry-as-dust scholar: Tertius Lydgate, the brilliant but morally-flawed physician: the passionate artist Will Ladislaw: and Fred Vincey and Mary Garth, childhood sweethearts whose charming courtship is one of the many humorous elements in the novel's rich comic vein."
Pickwick Papers,"Contemporary Fiction,Classics","The adventures of the immortal Pickwick Club, headed by good Mr. Pickwick himself, have kept readers laughing for nearly two centuries. Following the intrepidly bumbling Pickwickians along the highways and byways of old England, Charles Dickens creates a vivid world of highwaymen, duels, lawsuits, jails, and hilarious romantic imbroglios--but a world too of deeply affecting human warmth and generosity. Filled with a host of indelible characters, [viii] The Pickwick Papers has never ceased to enjoy the popularity it won with its initial publication--when it rocketed its author to sudden fame and launched a career without equal in the history of the English novel. 
With an Afterword by Jasper Fforde"
General System Theory,"Nonfiction,Social Science","An attempt to formulate common laws that apply to virtually every scientific field, this conceptual approach has had a profound impact on such widely diverse disciplines as biology, economics, psychology, and demography."
Sherlock Holmes: Selected Stories,"Contemporary Fiction,Classics,Crime","This volume includes ""Silver Blaze,"" ""The Speckled Band,"" ""The Sign of Four,"" ""A Scandal of Bohemia,"" ""The Naval Treaty,"" ""The Blue Carbuncle,"" ""The Greek Interpreter,"" ""The Red-Headed League,"" ""The Empty House,"" ""The Missing Three-Quarter,"" and ""His Last Bow."""
